Time;Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
Mon Sep 25 13:28:09 2023;40;40;270;0;-1.016657605062655e-14;-0.0;-0.0;-55.34426229508196
Mon Sep 25 13:28:12 2023;30;30;270;0;-7.624932037969912e-15;-0.0;-0.0;-41.50819672131147
Mon Sep 25 13:28:15 2023;20;20;270;0;-5.083288025313275e-15;-0.0;-0.0;-27.67213114754098
Mon Sep 25 13:28:18 2023;10;10;270;0;-2.5416440126566375e-15;-0.0;-0.0;-13.83606557377049
Mon Sep 25 13:28:20 2023;0;0;270;0;-0.0;-0.0;-0.0;-0.0
Mon Sep 25 13:28:23 2023;0;0;0;0;0.0;-0.0;-0.0;0.0
Mon Sep 25 13:28:58 2023;10;10;0;0;13.83606557377049;-0.0;-0.0;0.0
Mon Sep 25 13:29:04 2023;20;20;0;0;27.67213114754098;-0.0;-0.0;0.0
Mon Sep 25 13:29:11 2023;30;30;0;0;41.50819672131147;-0.0;-0.0;0.0
Mon Sep 25 13:29:17 2023;40;40;0;0;55.34426229508196;-0.0;-0.0;0.0
Mon Sep 25 13:29:24 2023;50;50;0;0;69.18032786885246;-0.0;-0.0;0.0
Mon Sep 25 13:29:31 2023;40;40;0;0;55.34426229508196;-0.0;-0.0;0.0
Mon Sep 25 13:29:37 2023;30;30;0;0;41.50819672131147;-0.0;-0.0;0.0
Mon Sep 25 13:29:44 2023;20;20;0;0;27.67213114754098;-0.0;-0.0;0.0
Mon Sep 25 13:29:50 2023;10;10;0;0;13.83606557377049;-0.0;-0.0;0.0
Mon Sep 25 13:53:00 2023;10;10;90;0;8.472146708855459e-16;13.83606557377049;-0.0;-0.0
Mon Sep 25 13:53:06 2023;20;20;90;0;1.6944293417710919e-15;27.67213114754098;-0.0;-0.0
Mon Sep 25 13:53:13 2023;30;30;90;0;2.541644012656638e-15;41.50819672131147;-0.0;-0.0
Mon Sep 25 13:53:20 2023;40;40;90;0;3.3888586835421837e-15;55.34426229508196;-0.0;-0.0
Mon Sep 25 13:53:27 2023;50;50;90;0;4.23607335442773e-15;69.18032786885246;-0.0;-0.0
Mon Sep 25 13:53:33 2023;40;40;90;0;3.3888586835421837e-15;55.34426229508196;-0.0;-0.0
Mon Sep 25 13:53:39 2023;30;30;90;0;2.541644012656638e-15;41.50819672131147;-0.0;-0.0
