Time;Theta1;Theta2;Phi1;Phi2;Delta1;Delta2;Delta3;Delta4
Mon Sep 25 14:10:51 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Mon Sep 25 14:10:53 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Mon Sep 25 14:10:56 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Mon Sep 25 14:10:59 2023;35;35;0;0;16.14207650273224;0.0;48.42622950819672;0.0
Mon Sep 25 14:11:02 2023;40;40;0;0;18.44808743169399;0.0;55.34426229508196;0.0
Mon Sep 25 14:11:04 2023;45;45;0;0;20.754098360655735;0.0;62.26229508196721;0.0
Mon Sep 25 14:11:07 2023;50;50;0;0;23.060109289617486;0.0;69.18032786885246;0.0
Mon Sep 25 14:11:10 2023;55;55;0;0;25.36612021857923;0.0;76.0983606557377;0.0
Mon Sep 25 14:11:12 2023;60;60;0;0;27.67213114754098;0.0;83.01639344262294;0.0
Mon Sep 25 14:11:15 2023;65;65;0;0;29.97814207650273;0.0;89.93442622950819;0.0
Mon Sep 25 14:11:18 2023;0;0;0;0;0.0;0.0;0.0;0.0
Mon Sep 25 14:58:09 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Mon Sep 25 14:58:11 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Mon Sep 25 14:58:14 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Mon Sep 25 14:58:17 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Mon Sep 25 14:58:19 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Mon Sep 25 14:58:22 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Mon Sep 25 14:58:25 2023;35;35;0;0;16.14207650273224;0.0;48.42622950819672;0.0
Mon Sep 25 14:58:27 2023;40;40;0;0;18.44808743169399;0.0;55.34426229508196;0.0
Mon Sep 25 14:58:30 2023;45;45;0;0;20.754098360655735;0.0;62.26229508196721;0.0
Mon Sep 25 14:58:33 2023;50;50;0;0;23.060109289617486;0.0;69.18032786885246;0.0
Mon Sep 25 14:58:35 2023;55;55;0;0;25.36612021857923;0.0;76.0983606557377;0.0
Mon Sep 25 14:58:38 2023;60;60;0;0;27.67213114754098;0.0;83.01639344262294;0.0
Mon Sep 25 14:58:41 2023;0;0;0;0;0.0;0.0;0.0;0.0
Mon Sep 25 15:00:03 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Mon Sep 25 15:00:26 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Mon Sep 25 15:01:08 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Mon Sep 25 15:01:43 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Mon Sep 25 15:02:32 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Mon Sep 25 15:03:11 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Mon Sep 25 15:03:39 2023;35;35;0;0;16.14207650273224;0.0;48.42622950819672;0.0
Mon Sep 25 15:04:06 2023;40;40;0;0;18.44808743169399;0.0;55.34426229508196;0.0
Mon Sep 25 15:04:37 2023;45;45;0;0;20.754098360655735;0.0;62.26229508196721;0.0
Mon Sep 25 15:05:18 2023;50;50;0;0;23.060109289617486;0.0;69.18032786885246;0.0
Mon Sep 25 15:05:54 2023;55;55;0;0;25.36612021857923;0.0;76.0983606557377;0.0
Mon Sep 25 15:06:23 2023;60;60;0;0;27.67213114754098;0.0;83.01639344262294;0.0
Mon Sep 25 15:06:51 2023;0;0;0;0;0.0;0.0;0.0;0.0
Mon Sep 25 15:08:26 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Mon Sep 25 15:09:14 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Mon Sep 25 15:10:43 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Mon Sep 25 15:11:36 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Mon Sep 25 15:12:27 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Mon Sep 25 15:13:42 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Mon Sep 25 15:14:35 2023;35;35;0;0;16.14207650273224;0.0;48.42622950819672;0.0
Mon Sep 25 15:15:27 2023;40;40;0;0;18.44808743169399;0.0;55.34426229508196;0.0
Mon Sep 25 15:16:16 2023;45;45;0;0;20.754098360655735;0.0;62.26229508196721;0.0
Mon Sep 25 15:17:28 2023;50;50;0;0;23.060109289617486;0.0;69.18032786885246;0.0
Mon Sep 25 15:18:27 2023;55;55;0;0;25.36612021857923;0.0;76.0983606557377;0.0
Mon Sep 25 15:19:18 2023;60;60;0;0;27.67213114754098;0.0;83.01639344262294;0.0
Mon Sep 25 15:19:55 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 15:39:11 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:39:21 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 15:39:25 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 15:39:29 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 15:39:31 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 15:39:34 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Tue Sep 26 15:39:43 2023;35;35;0;0;16.14207650273224;0.0;48.42622950819672;0.0
Tue Sep 26 15:39:46 2023;40;40;0;0;18.44808743169399;0.0;55.34426229508196;0.0
Tue Sep 26 15:39:52 2023;45;45;0;0;20.754098360655735;0.0;62.26229508196721;0.0
Tue Sep 26 15:39:57 2023;50;50;0;0;23.060109289617486;0.0;69.18032786885246;0.0
Tue Sep 26 15:40:02 2023;55;55;0;0;25.36612021857923;0.0;76.0983606557377;0.0
Tue Sep 26 15:41:15 2023;60;60;0;0;27.67213114754098;0.0;83.01639344262294;0.0
Tue Sep 26 15:41:17 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 15:42:39 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:43:05 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:43:08 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 15:43:10 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 15:43:13 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 15:43:16 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 15:43:18 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Tue Sep 26 15:43:21 2023;35;35;0;0;16.14207650273224;0.0;48.42622950819672;0.0
Tue Sep 26 15:43:24 2023;40;40;0;0;18.44808743169399;0.0;55.34426229508196;0.0
Tue Sep 26 15:43:27 2023;45;45;0;0;20.754098360655735;0.0;62.26229508196721;0.0
Tue Sep 26 15:43:29 2023;50;50;0;0;23.060109289617486;0.0;69.18032786885246;0.0
Tue Sep 26 15:43:32 2023;55;55;0;0;25.36612021857923;0.0;76.0983606557377;0.0
Tue Sep 26 15:43:35 2023;60;60;0;0;27.67213114754098;0.0;83.01639344262294;0.0
Tue Sep 26 15:43:37 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 15:51:39 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:51:41 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:51:41 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:51:42 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:51:42 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:51:42 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:51:42 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Tue Sep 26 15:51:48 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 15:51:51 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 15:51:53 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 15:51:56 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 15:51:59 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:01 2023;0;0;180;0;-0.0;0.0;-0.0;0.0
Tue Sep 26 15:52:04 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:52:07 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:52:10 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:52:12 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:52:15 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:52:18 2023;30;30;180;0;-13.83606557377049;1.6944293417710919e-15;-41.50819672131147;5.083288025313276e-15
Tue Sep 26 15:52:20 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:52:23 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:52:25 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:52:28 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:52:31 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:52:34 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:38 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:38 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:39 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:39 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:39 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:40 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Tue Sep 26 15:52:45 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 15:52:48 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 15:52:50 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 15:52:53 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 15:52:56 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 15:52:59 2023;0;0;180;0;-0.0;0.0;-0.0;0.0
Tue Sep 26 15:53:01 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:53:04 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:53:07 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:53:09 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:53:12 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:53:15 2023;30;30;180;0;-13.83606557377049;1.6944293417710919e-15;-41.50819672131147;5.083288025313276e-15
Tue Sep 26 15:53:17 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:53:20 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:53:23 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:53:26 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:53:28 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:53:31 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 15:54:22 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 15:54:23 2023;5;5;0;0;9.224043715846994;0.0;6.918032786885245;0.0
Tue Sep 26 15:54:27 2023;10;10;0;0;18.44808743169399;0.0;13.83606557377049;0.0
Tue Sep 26 15:54:33 2023;15;15;0;0;27.67213114754098;0.0;20.754098360655735;0.0
Tue Sep 26 15:54:38 2023;20;20;0;0;36.89617486338798;0.0;27.67213114754098;0.0
Tue Sep 26 15:54:44 2023;25;25;0;0;46.12021857923497;0.0;34.59016393442623;0.0
Tue Sep 26 15:54:49 2023;30;30;0;0;55.34426229508196;0.0;41.50819672131147;0.0
Tue Sep 26 15:54:54 2023;25;25;0;0;59.95628415300546;0.0;34.59016393442623;0.0
Tue Sep 26 15:54:58 2023;20;20;0;0;64.56830601092895;0.0;27.67213114754098;0.0
Tue Sep 26 15:55:02 2023;15;15;0;0;69.18032786885246;0.0;20.754098360655735;0.0
Tue Sep 26 15:55:06 2023;10;10;0;0;73.79234972677595;0.0;13.83606557377049;0.0
Tue Sep 26 15:55:10 2023;5;5;0;0;78.40437158469945;0.0;6.918032786885245;0.0
Tue Sep 26 15:55:14 2023;0;0;180;0;-0.0;0.0;-0.0;0.0
Tue Sep 26 15:55:30 2023;5;5;180;0;4.612021857923496;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:55:34 2023;10;10;180;0;9.224043715846992;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:55:37 2023;15;15;180;0;13.83606557377049;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:55:41 2023;20;20;180;0;18.448087431693985;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:55:45 2023;25;25;180;0;23.060109289617486;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:55:49 2023;30;30;180;0;27.67213114754098;1.6944293417710919e-15;-41.50819672131147;5.083288025313276e-15
Tue Sep 26 15:55:53 2023;25;25;180;0;36.89617486338798;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:55:58 2023;20;20;180;0;46.120218579234965;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:56:04 2023;15;15;180;0;55.34426229508196;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:56:09 2023;10;10;180;0;64.56830601092896;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:56:15 2023;5;5;180;0;73.79234972677594;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:56:20 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 15:56:35 2023;5;5;0;0;9.224043715846994;0.0;6.918032786885245;0.0
Tue Sep 26 15:56:41 2023;10;10;0;0;18.44808743169399;0.0;13.83606557377049;0.0
Tue Sep 26 15:56:46 2023;15;15;0;0;27.67213114754098;0.0;20.754098360655735;0.0
Tue Sep 26 15:56:51 2023;20;20;0;0;36.89617486338798;0.0;27.67213114754098;0.0
Tue Sep 26 15:56:57 2023;25;25;0;0;46.12021857923497;0.0;34.59016393442623;0.0
Tue Sep 26 15:57:02 2023;30;30;0;0;55.34426229508196;0.0;41.50819672131147;0.0
Tue Sep 26 15:57:08 2023;25;25;0;0;59.95628415300546;0.0;34.59016393442623;0.0
Tue Sep 26 15:57:11 2023;20;20;0;0;64.56830601092895;0.0;27.67213114754098;0.0
Tue Sep 26 15:57:15 2023;15;15;0;0;69.18032786885246;0.0;20.754098360655735;0.0
Tue Sep 26 15:57:19 2023;10;10;0;0;73.79234972677595;0.0;13.83606557377049;0.0
Tue Sep 26 15:57:23 2023;5;5;0;0;78.40437158469945;0.0;6.918032786885245;0.0
Tue Sep 26 15:57:27 2023;0;0;180;0;-0.0;0.0;-0.0;0.0
Tue Sep 26 15:57:43 2023;5;5;180;0;4.612021857923496;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:57:47 2023;10;10;180;0;9.224043715846992;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:57:51 2023;15;15;180;0;13.83606557377049;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:57:54 2023;20;20;180;0;18.448087431693985;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:57:58 2023;25;25;180;0;23.060109289617486;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:58:02 2023;30;30;180;0;27.67213114754098;1.6944293417710919e-15;-41.50819672131147;5.083288025313276e-15
Tue Sep 26 15:58:06 2023;25;25;180;0;36.89617486338798;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 15:58:12 2023;20;20;180;0;46.120218579234965;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 15:58:17 2023;15;15;180;0;55.34426229508196;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 15:58:22 2023;10;10;180;0;64.56830601092896;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 15:58:28 2023;5;5;180;0;73.79234972677594;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 15:58:33 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 16:05:54 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 16:05:54 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 16:05:57 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 16:05:59 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 16:06:02 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 16:06:04 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 16:06:07 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Tue Sep 26 16:06:10 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 16:06:12 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 16:06:15 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 16:06:18 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 16:06:21 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 16:06:23 2023;0;0;180;0;-0.0;0.0;-0.0;0.0
Tue Sep 26 16:06:26 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 16:06:29 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 16:06:31 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 16:06:34 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 16:06:37 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 16:06:39 2023;30;30;180;0;-13.83606557377049;1.6944293417710919e-15;-41.50819672131147;5.083288025313276e-15
Tue Sep 26 16:06:42 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 16:06:45 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 16:06:48 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 16:06:50 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 16:06:53 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 16:06:56 2023;0;0;0;0;0.0;0.0;0.0;0.0
Tue Sep 26 16:06:58 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 16:07:01 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 16:07:04 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 16:07:07 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 16:07:09 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 16:07:12 2023;30;30;0;0;13.83606557377049;0.0;41.50819672131147;0.0
Tue Sep 26 16:07:15 2023;25;25;0;0;11.530054644808743;0.0;34.59016393442623;0.0
Tue Sep 26 16:07:17 2023;20;20;0;0;9.224043715846994;0.0;27.67213114754098;0.0
Tue Sep 26 16:07:20 2023;15;15;0;0;6.918032786885245;0.0;20.754098360655735;0.0
Tue Sep 26 16:07:23 2023;10;10;0;0;4.612021857923497;0.0;13.83606557377049;0.0
Tue Sep 26 16:07:25 2023;5;5;0;0;2.3060109289617485;0.0;6.918032786885245;0.0
Tue Sep 26 16:07:28 2023;0;0;180;0;-0.0;0.0;-0.0;0.0
Tue Sep 26 16:07:31 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 16:07:34 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 16:07:36 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 16:07:39 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 16:07:42 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 16:07:44 2023;30;30;180;0;-13.83606557377049;1.6944293417710919e-15;-41.50819672131147;5.083288025313276e-15
Tue Sep 26 16:07:47 2023;25;25;180;0;-11.530054644808743;1.41202445147591e-15;-34.59016393442623;4.23607335442773e-15
Tue Sep 26 16:07:50 2023;20;20;180;0;-9.224043715846994;1.1296195611807278e-15;-27.67213114754098;3.3888586835421837e-15
Tue Sep 26 16:07:53 2023;15;15;180;0;-6.918032786885245;8.472146708855459e-16;-20.754098360655735;2.541644012656638e-15
Tue Sep 26 16:07:55 2023;10;10;180;0;-4.612021857923497;5.648097805903639e-16;-13.83606557377049;1.6944293417710919e-15
Tue Sep 26 16:07:58 2023;5;5;180;0;-2.3060109289617485;2.8240489029518196e-16;-6.918032786885245;8.472146708855459e-16
Tue Sep 26 16:08:01 2023;0;0;0;0;0.0;0.0;0.0;0.0
